algorithm,suite,D,run,status,message,runtime,resultFile,MaxFE,nReturned,nShared,nFoundShared,peakRecall,bestConsensus,consensusGap,meanConsensus,IGDX,GDX,minDistanceToShared,ndCount,ndRatio,highConsensusRatio,HV2D
MMEAARM,2,3,1,error,位置 1 处的索引超出数组边界。索引不能超过 9。,2.5715927,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite02_D3_run01.mat,100000,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
MMEAARM,2,5,1,ok,,13.5036748,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite02_D5_run01.mat,100000,96,2,0,0,7.02629999207622,82.9737000079238,3.71884793692357,0.592120122897268,0.506613750712369,0.477882559925797,3,0.03125,0,616.050650515518
MMEAARM,3,10,1,ok,,16.377219,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite03_D10_run01.mat,100000,99,1,1,1,86.8255984126923,3.17440158730768,27.9882972597876,0.00362065911194658,0.726297724694735,0.00362065911194658,6,0.0606060606060606,0.151515151515152,7717.15282315887
MMEAARM,3,2,1,ok,,19.0930259,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite03_D2_run01.mat,100000,99,1,1,1,89.9943748128687,0.0056251871313151,80.8655681135702,0.000664121226599234,0.125875503768743,0.000664121226599234,11,0.111111111111111,0.777777777777778,8099.86213157438
MMEAARM,3,3,1,ok,,19.9596437,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite03_D3_run01.mat,100000,84,1,1,1,87.3969147113346,2.60308528866541,30.4360217792665,0.0212437304030878,0.450285209855132,0.0212437304030878,4,0.0476190476190476,0.0238095238095238,7922.29131499486
MMEAARM,3,5,1,ok,,16.7290504,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite03_D5_run01.mat,100000,98,1,1,1,89.7789446797656,0.221055320234399,51.952978034435,0.00233666770669811,0.294473869859868,0.00233666770669811,11,0.112244897959184,0.561224489795918,8075.83828213084
MMEAARM,4,10,1,ok,,14.0211859,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite04_D10_run01.mat,100000,100,2,0,0,9.57546099868978e-05,89.99990424539,1.85332904803204e-05,0.865903250766931,1.27515440310719,0.811394951286136,25,0.25,0,0.000163604241657599
MMEAARM,4,2,1,ok,,167.5531584,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite04_D2_run01.mat,100000,99,2,2,1,89.9999639975998,3.60024001508918e-05,79.4244257126323,0.000185703077881681,0.067482309870246,6.24944075212858e-05,1,0.0101010101010101,0.777777777777778,8099.99549283218
MMEAARM,4,3,1,ok,,23.1158875,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite04_D3_run01.mat,100000,96,2,2,1,89.6217409729919,0.378259027008113,45.8720158200288,0.0115248626123322,0.198302789641856,0.00620237290402407,2,0.0208333333333333,0.25,8054.29085793141
MMEAARM,4,5,1,ok,,18.3288171,D:\code\multi_party_multi_modal\hamaza_code\Results\ofec_mpmmo_platemo_1e5\tasks\MMEAARM_suite04_D5_run01.mat,100000,96,2,1,0.5,89.8704132892171,0.129586710782888,22.707821521714,0.0207071783962163,0.509004471910886,0.00530052320999969,2,0.0208333333333333,0.166666666666667,8078.02772818002
