algorithm,suite,D,run,status,message,runtime,resultFile,nReturned,nShared,nFoundShared,peakRecall,bestConsensus,consensusGap,meanConsensus,IGDX,GDX,minDistanceToShared,ndCount,ndRatio,highConsensusRatio,HV2D
NBN_CMEAS,5,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_5_p5_rotated\archive_consensus_optima.txt,4,1,1,1,89.9999233730507,7.66269492658012e-05,77.912418821929,4.01179905352792e-05,0.0312865599262572,4.01179905352792e-05,1,0.25,0.25,8099.98948100778
NBN_CMEAS,6,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_6_p6_deceptive\archive_consensus_optima.txt,2,2,0,0,71.1919514542972,18.8080485457028,70.5955503717903,0.401965309822903,0.0228477428515511,0.0206974315333923,2,1,0,5785.80798609175
NBN_CMEAS,7,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_7_p7_hierarchical\archive_consensus_optima.txt,12,2,2,1,89.9989693358886,0.00103066411143971,77.9964520044664,0.0030260942442572,0.029791262607998,0.000130717439123261,1,0.0833333333333333,0.25,8099.8943503892
NBN_CMEAS,8,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_8_p8_disconnected\archive_consensus_optima.txt,10,2,2,1,89.9921053228016,0.00789467719843628,75.5021803144235,0.00315879699775107,0.0277400743101188,0.000476921452997856,1,0.1,0.2,8098.64754410854
NBN_CMEAS,9,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_9_p9_twenty_shared_optima\archive_consensus_optima.txt,20,20,4,0.2,89.9999945996463,5.40035368601366e-06,76.1143045479515,0.485824365232291,0.0320386658482441,1.9071210201681e-05,1,0.05,0.2,8099.99909021761
NBN_CMEAS,10,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_10_p10_rotated_rugged_deceptive\archive_consensus_optima.txt,25,6,2,0.333333333333333,89.9988317693567,0.00116823064334426,76.8167815205935,0.0102325402578828,0.0322919026058503,0.000195750374340239,1,0.04,0.12,8099.80831944623
NBN_CMEAS,11,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_11_p11_hierarchical_disconnected\archive_consensus_optima.txt,13,8,4,0.5,89.945793286665,0.0542067133350486,78.5316286940111,0.148504361249072,0.0255881398718205,0.00118020893803159,1,0.0769230769230769,0.307692307692308,8091.6240583896
NBN_CMEAS,12,5,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D5\suite_12_p12_full_mixed_multimodal\archive_consensus_optima.txt,25,16,5,0.3125,89.9905562404697,0.00944375953032761,75.9910803304753,0.235525751447586,0.0261319298570517,0.000759796992898918,1,0.04,0.2,8098.37672706095
NBN_CMEAS,1,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_1_p1_balanced\archive_all_history.txt,3110,2,0,0,2.15868233510719e-05,89.9999784131766,1.10932151618932e-05,0.484731000793772,1.04231352677888,0.417687970438304,3,0.000964630225080386,0,2.18725452755699e-09
NBN_CMEAS,2,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_2_p2_unequal_basins\archive_all_history.txt,4740,2,0,0,0.62625865425693,89.3737413457431,0.125872782634259,0.422928370977885,1.10841990722031,0.395849059752642,2877,0.606962025316456,0,1.10411031532702
NBN_CMEAS,3,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_3_p3_local_conflict\archive_all_history.txt,2540,1,0,0,0.03641806523936,89.9635819347606,0.0343635501909497,0.444853452684079,1.03753338615189,0.444853452684079,1849,0.727952755905512,0,0.00132627547577828
NBN_CMEAS,4,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_4_p4_rugged\archive_all_history.txt,4450,2,0,0,9.57546099868978e-05,89.99990424539,3.3020106508115e-06,0.482425286042091,1.10672219378778,0.426556736628405,3,0.000674157303370786,0,3.16552788321887e-08
NBN_CMEAS,5,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_5_p5_rotated\archive_all_history.txt,4385,1,0,0,61.9216947455024,28.0783052544976,4.31298126466526,0.018735779649757,0.467471864482672,0.018735779649757,3,0.000684150513112885,0,4478.19918840009
NBN_CMEAS,6,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_6_p6_deceptive\archive_all_history.txt,4157,2,0,0,0.458293165904877,89.5417068340951,0.204623027591857,0.394211119777052,1.08038011106623,0.353329723361168,1351,0.324993986047631,0,0.457643740300208
NBN_CMEAS,7,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_7_p7_hierarchical\archive_all_history.txt,3008,2,0,0,0.941693935511324,89.0583060644887,0.710309266647123,0.452766132611191,1.08986139229803,0.335733036579606,1885,0.626662234042553,0,1.0724841146109
NBN_CMEAS,8,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_8_p8_disconnected\archive_all_history.txt,2715,2,0,0,0.187677571105155,89.8123224288948,0.172792945467223,0.409472260613128,1.05023906901228,0.387709806530678,1513,0.557274401473297,0,0.0706154359261213
NBN_CMEAS,9,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_9_p9_twenty_shared_optima\archive_all_history.txt,2472,20,0,0,0.00024846953148483,89.9997515304685,0.000245693140512814,0.461550604765496,0.74647617440942,0.370383488623173,1854,0.75,0,4.29540043743432e-07
NBN_CMEAS,10,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_10_p10_rotated_rugged_deceptive\archive_all_history.txt,2236,6,0,0,0.965279365164221,89.0347206348358,0.933787626315691,0.441880747733025,0.84707729351382,0.263871176134688,2,0.000894454382826476,0,1.33852420883158
NBN_CMEAS,11,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_11_p11_hierarchical_disconnected\archive_all_history.txt,3645,8,0,0,35.2561671228061,54.7438328771939,1.19170265895922,0.413887126908733,0.544757311297383,0.0386859242776661,3,0.000823045267489712,0,1754.45336344926
NBN_CMEAS,12,10,1,ok,,NaN,D:\code\multi_party_multi_modal\hamaza_code\Visualization\multiparty_nbn_cmaes_1e5\D10\suite_12_p12_full_mixed_multimodal\archive_consensus_optima.txt,7,16,1,0.0625,86.1373622830407,3.86263771695926,71.7900167159372,1.04997139550088,0.0274412661675136,0.00989025613686986,1,0.142857142857143,0.142857142857143,7446.94918963829
