algorithm,suite,D,nFoundShared,bestConsensus
NBN_CMEAS,8,3,2,89.9962210023699
NBN_CMEAS,9,3,7,89.996425595318
NBN_CMEAS,10,3,6,89.9974798467197
NBN_CMEAS,11,3,8,89.9999999942134
NBN_CMEAS,12,3,13,89.9999641416518
NBN_CMEAS,1,5,0,0.0454340965845006
NBN_CMEAS,2,5,0,7.02629999207622
NBN_CMEAS,3,5,1,89.9992590497786
NBN_CMEAS,4,5,2,89.9934509739593
NBN_CMEAS,5,5,1,89.9999233730507
NBN_CMEAS,6,5,0,71.1919514542972
NBN_CMEAS,7,5,2,89.9989693358886
NBN_CMEAS,8,5,2,89.9921053228016
NBN_CMEAS,9,5,4,89.9999945996463
NBN_CMEAS,10,5,2,89.9988317693567
NBN_CMEAS,11,5,4,89.945793286665
NBN_CMEAS,12,5,5,89.9905562404697
NBN_CMEAS,1,10,0,2.15868233510719e-05
NBN_CMEAS,2,10,0,0.62625865425693
NBN_CMEAS,3,10,0,0.03641806523936
NBN_CMEAS,4,10,0,9.57546099868978e-05
NBN_CMEAS,5,10,0,61.9216947455024
NBN_CMEAS,6,10,0,0.458293165904877
NBN_CMEAS,7,10,0,0.941693935511324
NBN_CMEAS,8,10,0,0.187677571105155
NBN_CMEAS,9,10,0,0.00024846953148483
NBN_CMEAS,10,10,0,0.965279365164221
NBN_CMEAS,11,10,0,35.2561671228061
NBN_CMEAS,12,10,1,86.1373622830407
