# Party-0 landscape F0(x) D=3 (slice: x0-x1, others=0.5)
# x0 x1 value
0.030303 0.030303 3.080527
0.030303 0.040404 3.259429
0.030303 0.050505 3.277523
0.030303 0.060606 3.971472
0.030303 0.070707 3.645515
0.030303 0.080808 4.602346
0.030303 0.090909 4.229273
0.030303 0.101010 5.150877
0.030303 0.111111 5.018960
0.030303 0.121212 5.710747
0.030303 0.131313 5.943713
0.030303 0.141414 6.428166
0.030303 0.151515 5.427790
0.030303 0.161616 2.692261
0.030303 0.171717 0.550368
0.030303 0.181818 0.550368
0.030303 0.191919 0.550368
0.030303 0.202020 0.550368
0.030303 0.212121 0.550368
0.030303 0.222222 0.550368
0.030303 0.232323 0.550368
0.030303 0.242424 0.550368
0.030303 0.252525 0.550368
0.030303 0.262626 0.550368
0.030303 0.272727 0.550368
0.030303 0.282828 0.550368
0.030303 0.292929 0.550368
0.030303 0.303030 0.550368
0.030303 0.313131 0.550368
0.030303 0.323232 0.550368
0.030303 0.333333 0.550368
0.030303 0.343434 0.550368
0.030303 0.353535 0.550368
0.030303 0.363636 0.550368
0.030303 0.373737 0.550368
0.030303 0.383838 0.550368
0.030303 0.393939 0.550368
0.030303 0.404040 0.550368
0.030303 0.414141 0.550368
0.030303 0.424242 0.550368
0.030303 0.434343 0.550368
0.030303 0.444444 0.550368
0.030303 0.454545 0.550368
0.030303 0.464646 0.550368
0.030303 0.474747 0.550368
0.030303 0.484848 0.550368
0.030303 0.494949 0.550368
0.030303 0.505051 0.550368
0.030303 0.515152 0.550368
0.030303 0.525253 0.550368
0.030303 0.535354 0.550368
0.030303 0.545455 0.550368
0.030303 0.555556 0.550368
0.030303 0.565657 0.550368
0.030303 0.575758 0.550368
0.030303 0.585859 0.550368
0.030303 0.595960 4.333463
0.030303 0.606061 4.333463
0.030303 0.616162 5.447290
0.030303 0.626263 5.317576
0.030303 0.636364 4.333463
0.030303 0.646465 4.333463
0.030303 0.656566 5.045042
0.030303 0.666667 5.972491
0.030303 0.676768 5.642617
0.030303 0.686869 4.997693
0.030303 0.696970 5.324953
0.030303 0.707071 6.597551
0.030303 0.717172 7.427244
0.030303 0.727273 7.063310
0.030303 0.737374 6.844739
0.030303 0.747475 7.825992
0.030303 0.757576 9.366215
0.030303 0.767677 9.988383
0.030303 0.777778 9.867105
0.030303 0.787879 10.327834
0.030303 0.797980 11.526582
0.030303 0.808081 12.504279
0.030303 0.818182 13.000205
0.030303 0.828283 12.884652
0.030303 0.838384 4.956566
0.030303 0.848485 4.333463
0.030303 0.858586 4.333463
0.030303 0.868687 4.333463
0.030303 0.878788 4.333463
0.030303 0.888889 4.333463
0.030303 0.898990 4.333463
0.030303 0.909091 4.333463
0.030303 0.919192 4.333463
0.030303 0.929293 4.333463
0.030303 0.939394 4.333463
0.030303 0.949495 4.333463
0.030303 0.959596 4.333463
0.030303 0.969697 4.333463
0.030303 0.979798 4.333463
0.030303 0.989899 4.333463
0.030303 1.000000 4.333463
0.040404 0.000000 1.862479
0.040404 0.010101 2.846565
0.040404 0.020202 2.511121
0.040404 0.030303 3.091880
0.040404 0.040404 3.341378
0.040404 0.050505 3.426062
0.040404 0.060606 4.248625
0.040404 0.070707 3.955491
0.040404 0.080808 5.114779
0.040404 0.090909 4.746782
0.040404 0.101010 5.899950
0.040404 0.111111 5.794845
0.040404 0.121212 6.681143
0.040404 0.131313 6.997920
0.040404 0.141414 7.610670
0.040404 0.151515 6.366194
0.040404 0.161616 3.022896
0.040404 0.171717 0.550368
0.040404 0.181818 0.550368
0.040404 0.191919 0.550368
0.040404 0.202020 0.550368
0.040404 0.212121 0.550368
0.040404 0.222222 0.550368
0.040404 0.232323 0.550368
0.040404 0.242424 0.550368
0.040404 0.252525 0.550368
0.040404 0.262626 0.550368
0.040404 0.272727 0.550368
0.040404 0.282828 0.550368
0.040404 0.292929 0.550368
0.040404 0.303030 0.550368
0.040404 0.313131 0.550368
0.040404 0.323232 0.550368
0.040404 0.333333 0.550368
0.040404 0.343434 0.550368
0.040404 0.353535 0.550368
0.040404 0.363636 0.550368
0.040404 0.373737 0.550368
0.040404 0.383838 0.550368
0.040404 0.393939 0.550368
0.040404 0.404040 0.550368
0.040404 0.414141 0.550368
0.040404 0.424242 0.550368
0.040404 0.434343 0.550368
0.040404 0.444444 0.550368
0.040404 0.454545 0.550368
0.040404 0.464646 0.550368
0.040404 0.474747 0.550368
0.040404 0.484848 0.550368
0.040404 0.494949 0.550368
0.040404 0.505051 0.550368
0.040404 0.515152 0.550368
0.040404 0.525253 0.550368
0.040404 0.535354 0.550368
0.040404 0.545455 0.550368
0.040404 0.555556 0.550368
0.040404 0.565657 0.550368
0.040404 0.575758 0.550368
0.040404 0.585859 0.550368
0.040404 0.595960 4.333463
0.040404 0.606061 4.333463
0.040404 0.616162 6.531371
0.040404 0.626263 6.572604
0.040404 0.636364 4.333463
0.040404 0.646465 4.333463
0.040404 0.656566 6.268366
0.040404 0.666667 9.148011
0.040404 0.676768 7.807692
0.040404 0.686869 5.840587
0.040404 0.696970 6.401783
0.040404 0.707071 8.795749
0.040404 0.717172 9.783175
0.040404 0.727273 8.475308
0.040404 0.737374 7.678235
0.040404 0.747475 8.529373
0.040404 0.757576 9.815850
0.040404 0.767677 9.946707
0.040404 0.777778 9.416668
0.040404 0.787879 9.502354
0.040404 0.797980 10.219308
0.040404 0.808081 10.775916
0.040404 0.818182 11.034562
0.040404 0.828283 10.938668
0.040404 0.838384 4.853933
0.040404 0.848485 4.333463
0.040404 0.858586 4.333463
0.040404 0.868687 4.333463
0.040404 0.878788 4.333463
0.040404 0.888889 4.333463
0.040404 0.898990 4.333463
0.040404 0.909091 4.333463
0.040404 0.919192 4.333463
0.040404 0.929293 4.333463
0.040404 0.939394 4.333463
0.040404 0.949495 4.333463
0.040404 0.959596 4.333463
0.040404 0.969697 4.333463
0.040404 0.979798 4.333463
0.040404 0.989899 4.333463
0.040404 1.000000 4.333463
0.050505 0.000000 1.708058
0.050505 0.010101 2.485965
0.050505 0.020202 2.172848
0.050505 0.030303 2.580863
0.050505 0.040404 2.722622
0.050505 0.050505 2.742739
0.050505 0.060606 3.278353
0.050505 0.070707 3.038415
0.050505 0.080808 3.775103
0.050505 0.090909 3.500265
0.050505 0.101010 4.209630
0.050505 0.111111 4.117143
0.050505 0.121212 4.648652
0.050505 0.131313 4.829569
0.050505 0.141414 5.197914
0.050505 0.151515 4.438731
0.050505 0.161616 2.321848
0.050505 0.171717 0.550368
